firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,experienceMeasure,experienceMeasurePage,performanceMeasure,performanceMeasurePage
Stenhouse,2016,Do emotional intelligence and previous caring experience influence student nurse performance? A comparative analysis,Further Review,,yes,,"Data were obtained from 598 students in total: 443 adult students,104 mental health and 51 midwifery students.Table 4shows the genderbalance.315 students had previous caring experience, 277 had not",7,"Adult, mental health and midwifery students (n = 598) completed the Trait Emotional IntelligenceQuestionnaire-short form and Schutte's Emotional Intelligence Scale on entry to their programmes at a ScottishUniversity, alongside demographic and previous caring experience data. Social connection was calculated from asubset of questions identified within the TEIQue-SF in a prior factor and Rasch analysis. Student performance wascalculated as the mean mark across the year.",1
Calderwood,2017,Surgical Site Infections Volume-Outcome Relationship and Year-to-Year Stability of Performance Rankings,Exclude ,Criterion 4,,,,,,
Tejo-Veloso,2017,Action art projects: analysis of a teaching experience,Exclude ,Criterion 3,,,,,,
Areosa Sastre,2017,Effect of the treatment of Type 2 diabetes mellitus on the development of cognitive impairment and dementia,Exclude ,Criterion 4,,,,,,
Horita,2017,Long-acting muscarinic antagonist (LAMA) plus long-acting beta-agonist (LABA) versus LABA plus inhaled corticosteroid (ICS) for stable chronic obstructive pulmonary disease (COPD),Exclude ,Criterion 3,,,,,,
Ju,2017,Acupuncture for neuropathic pain in adults,Exclude ,Criterion 4,,,,,,
Skoetz,2017,Comparison of first-line chemotherapy including escalated BEACOPP versus chemotherapy including ABVD for people with early unfavourable or advanced stage Hodgkin lymphoma,Exclude ,Criterion 4,,,,,,
Walters,2017,Pneumococcal vaccines for preventing pneumonia in chronic obstructive pulmonary disease,Exclude ,Criterion 4,,,,,,
Marini,2017,Robot-aided developmental assessment of wrist proprioception in children,Exclude ,Criterion 4,,,,,,
Zirwas,2017,Anti-Pruritic Efficacy of Itch Relief Lotion and Cream in Patients With Atopic History: Comparison With Hydrocortisone Cream,Exclude ,Criterion 4,,,,,,
Graves,2017,Evaluation of perceived and actual competency in a family medicine objective structured clinical examination,Exclude ,Criterion 3,,,,,,
Khammar,2017,Effects of bright light shock on sleepiness and adaptation among night workers of a hospital in Iran,Exclude ,Criterion 3,,,,,,
Garcia-Naveira,2017,PSYCHOLOGICAL TRAINING FOR IMPROVING SELF-CONTROL IN A FOOTBALL COACH,Exclude ,Criterion 3,,,,,,
Lassen-Greene,2017,Mild Cognitive Impairment and Changes in Everyday Function Over Time: The Importance of Evaluating Both Speed and Accuracy,Exclude ,Criterion 4,,,,,,
Rossettini,2017,Effective teaching of manual skills to physiotherapy students: a randomised clinical trial,Exclude ,Criterion 3,,,,,,
Migliaretti,2017,Admission test to the degree course in Medicine and Surgery and university career: the experience in the campuses of Piedmont Region (Northern Italy),Exclude ,Criterion 3,,,,,,
Harrington,2017,Objective scoring of an electronic surgical logbook: Analysis of impact and observations within a surgical training body,Exclude ,Criterion 3,,,,,,
Choussein,2018,Robotic Assistance Confers Ambidexterity to Laparoscopic Surgeons,Further Review,,yes,,Three groups of subjects were included: (1) surgical novices (medical graduates with no robotic/laparoscopic experience); (2) surgeons in training (postgraduate year 3–4 residents and fellows with intermediate robotic and laparoscopic experience); and (3) advanced surgeons (attending surgeons with extensive robotic and laparoscopic experience).,76,"Each study group completed 3 dry laboratory exercises based on exercises included in the Fundamentals of Laparoscopic Surgery (FLS) curriculum. Each exercise was completed 4 times: using the dominant and nondominant hands, on a standard laparoscopic FLS box trainer, and in a robotic dry laboratory setup.",76
Morcillo Martinez,2018,"The triad: initiation, transit and consolidation versus return of women that move from Tangier to Andalucia in a context of economic crisis",Exclude ,Criterion 3,,,,,,
Doiron,2018,Early intervention (mobilization or active exercise) for critically ill adults in the intensive care unit,Exclude ,Criterion 4,,,,,,
El Sayed,2018,Antibiotics for treating scrub typhus,Exclude ,Criterion 4,,,,,,
Lewis,2018,Propofol for the promotion of sleep in adults in the intensive care unit,Exclude ,Criterion 4,,,,,,
Oduwole,2018,Honey for acute cough in children,Exclude ,Criterion 4,,,,,,
Pashev,2018,VASCULAR AND BILIARY VARIATIONS IN DONOR CANDIDATES FOR PEDIATRIC LIVING-DONOR LIVER TRANSPLANTATION,Exclude ,Criterion 4,,,,,,
Lima de Oliveira,2018,Safety culture: perception of health professionals in a mental hospital,Exclude ,Criterion 3,,,,,,
Grealish,2018,Introducing a design exigency to promote student learning through assessment: A case study,Exclude ,Criterion 3,,,,,,
Lee,2018,A student-initiated objective structured clinical examination as a sustainable cost-effective learning experience,Exclude ,Criterion 3,,,,,,
Schaverien,2018,Interview Scores Correlate with Fellow Microsurgical Skill and Performance,Exclude ,Criterion 3,,,,,,
Hay-McCutcheon,2018,Performance variability on perceptual discrimination tasks in profoundly deaf adults with cochlear implants,Exclude ,Criterion 4,,,,,,
Perez-Merino,2018,Comparison of the use of fresh-frozen canine cadavers and a realistic composite ex vivo simulator for training in small animal flexible gastrointestinal endoscopy,Exclude ,Criterion 3,,,,,,
Hacihasanoglu,2018,Factors Impacting the Performance Characteristics of Bile Duct Brushings A Clinico-Cytopathologic Analysis of 253 Patients,Exclude ,Criterion 4,,,,,,
Cordova,2018,Effect of low-cost interventions on the retention of knowledge and skills following Helping Babies Breathe training,Exclude ,Criterion 3,,,,,,
Ma,2018,Family intervention for caregivers of people with recent-onset psychosis: A systematic review and meta-analysis,Exclude ,Criterion 4,,,,,,
DeStephano,2018,Use of the Limbs and Things Hysterectomy Model to Describe the Process for Establishing Validity,Exclude ,Criterion 3,,,,,,
Park,2018,How Many Screws Are Necessary to Be Considered an Experienced Surgeon for Freehand Placement of Thoracolumbar Pedicle Screws?: Analysis Using the Cumulative Summation Test for Learning Curve,Exclude ,Criterion 3,,,,,,
Filho,2018,"The road to victory in the UEFA Women's Champions League: A multi-level analysis of successful coaches, teams, and countries",Exclude ,Criterion 3,,,,,,
Simonsick,2018,Pittsburgh Fatigability Scale: One-Page Predictor of Mobility Decline in Mobility-Intact Older Adults,Exclude ,Criterion 4,,,,,,
Kristjansdottir,2018,"Psychological skills, mental toughness and anxiety in elite handball players",Exclude ,Criterion 4,,,,,,
Putland,2018,Low major trauma confidence among emergency physicians working outside major trauma services: Inevitable result of a centralised trauma system or evidence for change?,Exclude ,Criterion 3,,,,,,
Koehn,2018,ANTECEDENTS OF FLOW AND THE FLOW-PERFORMANCE RELATIONSHIP IN CRICKET,Exclude ,Criterion 3,,,,,,
