firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,performanceMeasure,performanceMeasurePage,experienceMeasure,experienceMeasurePage
Philbrook,2017,"Sleep and Cognitive Functioning in Childhood: Ethnicity, Socioeconomic Status, and Sex as Moderators",Exclude,Violates Criterion 4,,,,,,
Vedana,2017,Cumulative sum analysis score and phacoemulsification competency learning curve,Further Review,,yes,,The two outcomes analysed were posterior capsule rupture (PCR) and best corrected visual acuity (BCVA) worse than 20/40 within 1-month post-operative follow-up,1088,Three second-year residents with 30 or more cases of extracapsular cataract extraction (ECCE) and an experienced consultant were monitored for a series of 70 phaco cases each.,1088
Hicheur,2017,Effects of age on the soccer-specific cognitivemotor performance of elite young soccer players: Comparison between objective measurements and coaches' evaluation,Exclude,Violates Criterion 4,,,,,,
Ramakers,2017,Correlation between subjective and objective hearing tests after unilateral and bilateral cochlear implantation,Exclude,Violates Criterion 4,,,,,,
Cochrane,2017,Association of Accelerometry-Measured Physical Activity and Cardiovascular Events in Mobility-Limited Older Adults: The LIFE (Lifestyle Interventions and Independence for Elders) Study,Exclude,Violates Criterion 4,,,,,,
Girish,2018,Utility of Low Fidelity Manikins for Learning High Quality Chest Compressions,Further Review,,yes,,"Proficiency was assessed by use of written test and practical evaluation where skills were tested on the basis of prevalidated checklist and examiner’s visual assessment. Successful participants were recalled within 7 d (Fig. 1) and asked to perform 5 cycles of chest compressions (2 min as per AHA guidelines) on a high fidelity simulator (HFS), Resusci Anne QCPR with simpad.",185,All first year postgraduates enrolled in 2016 at the institute (N = 79) were included in the study. Those who had undergone prior BLS training were excluded.,185
Huesch,2018,"Volume-Outcome Relationships in Extracorporeal Membrane Oxygenation: Retrospective Analysis of Administrative Data From Pennsylvania, 2007-2015",Exclude,Violates Criterion 4,,,,,,
Maruta,2018,Association of Visual Tracking Metrics With Post-concussion Symptomatology,Exclude,Violates Criterion 4,,,,,,
Perez-Vigil,2018,Association of Tourette Syndrome and Chronic Tic Disorders With Objective Indicators of Educational Attainment A Population-Based Sibling Comparison Study,Exclude,Violates Criterion 4,,,,,,
Lady,2018,Development of a clinical skills remediation program for chiropractic students at a university,Exclude,Violates Criterion 1,,,,,,
Clark,2018,A pragmatic comparative study of palliative care clinician's reports of the degree of shadowing visible on plain abdominal radiographs,Further Review,,yes,,"Each of the consenting doctors individually and without consultation reviewed 10 abdominal radiographs, blinded to any clinical details. This was done in order not to influence the doctors’ reports. . . This was undertaken according to previously published recommendations which require a 0–5 score to be assigned for each colonic section where 0 = no shadowing and 5 = severe shadowing with dilated bowel.",3750,"With the approval of their respective institution’s human research ethics committees, a convenience sample of palliative care doctors of varying experience was recruited including palliative medicine specialists (consultants), registrars (fellows; postgraduate years three or more) and Resident Medical Officers (RMO) (house staff; postgraduate year two or three)",3750
Karlsson,2018,Better preoperative physical performance reduces the odds of complication severity and discharge to care facility after abdominal cancer resection in people over the age of 70-A prospective cohort study,Exclude,,,,,,,
Sheu,2018,"Sources of self-efficacy and outcome expectations in science, technology, engineering, and mathematics domains: A meta analysis",Exclude,Violates Criterion 4,,,,,,
Clemente,2018,Associations between wellness and internal and external load variables in two intermittent small-sided soccer games,Exclude,Violates Criterion 2,,,,,,
Koehn,2018,ANTECEDENTS OF FLOW AND THE FLOW-PERFORMANCE RELATIONSHIP IN CRICKET,Exclude,Violates Criterion 1,,,,,,
