firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,experienceMeasure,experienceMeasurePage,performanceMeasure,performanceMeasurePage
Hacihasanoglu,2018,Factors Impacting the Performance Characteristics of Bile Duct Brushings A Clinico-Cytopathologic Analysis of 253 Patients,Exclude,Criterion 4,,,,,,
Cordova,2018,Effect of low-cost interventions on the retention of knowledge and skills following Helping Babies Breathe training,Exclude,Criterion 1,,,,,,
Ma,2018,Family intervention for caregivers of people with recent-onset psychosis: A systematic review and meta-analysis,Exclude,Criterion 3,,,,,,
DeStephano,2018,Use of the Limbs and Things Hysterectomy Model to Describe the Process for Establishing Validity,Exclude,Criterion 1,,,,,,
Park,2018,How Many Screws Are Necessary to Be Considered an Experienced Surgeon for Freehand Placement of Thoracolumbar Pedicle Screws?: Analysis Using the Cumulative Summation Test for Learning Curve,Exclude,Criterion 1,,,,,,
Filho,2018,"The road to victory in the UEFA Women's Champions League: A multi-level analysis of successful coaches, teams, and countries",Exclude,Criterion 1,,,,,,
Simonsick,2018,Pittsburgh Fatigability Scale: One-Page Predictor of Mobility Decline in Mobility-Intact Older Adults,Exclude,Criterion 4,,,,,,
Kristjansdottir,2018,"Psychological skills, mental toughness and anxiety in elite handball players",Further Review,,Yes,,One hundred and seventy four handball players classified into age groups and level of team. ,126,"Three questionnaires regarding performance strategies, sport mental toughness, and sport anxiety. ",126
Putland,2018,Low major trauma confidence among emergency physicians working outside major trauma services: Inevitable result of a centralised trauma system or evidence for change?,Further Review,,Yes,,138 responders divided into different experience categories. ,839,Questionnaire evaluating confidence in trauma treatment ,837
Koehn,2018,ANTECEDENTS OF FLOW AND THE FLOW-PERFORMANCE RELATIONSHIP IN CRICKET,Exclude,Criterion 1,,,,,,
